type,group,filename,format,duration,frame_count,frame_rate,file_size,width,height,rotation,codec
real,real-001,b851f46d633a8e2e9f42ba86f89968cb.mpg,MPEG-PS,306100,9183.0,30.0,500432896,1920,1080,0.0,MPEG-1V
real,real-001,274bbf218f5e52f23a9ddb47d9dd7adb.mp4,MPEG-4,306100,9183.0,30.0,155977217,800,480,0.0,AVC
real,real-002,f503b24d44fb6dadb3cfeec6a37e4b22.mp4,MPEG-4,273940,8210.0,29.97,359572744,2160,3840,0.0,AVC
real,real-002,52d391166231752abb0e696bc338244e.mp4,MPEG-4,275089,8210.0,29.901,1651854147,3840,2160,90.0,AVC
real,real-003,eec67540a87310616050ed26c44c5e85.mp4,MPEG-4,2478750,59490.0,24.0,856470908,1280,720,0.0,MPEG-4V
real,real-003,eac3a927ee85a5a9fcf5f1da86ee758b.avi,AVI,2478750,59490.0,24.0,949697548,720,480,0.0,DIVX
real,real-004,252295b85f4c39a043b65d435ffb8c4e.mp4,MPEG-4,644945,19329.0,29.97,250467625,1280,720,0.0,AVC
real,real-004,f680c073ede9bbd078c5e22dcd8a1049.mp4,MPEG-4,644920,16123.0,25.0,250899115,644,364,0.0,AVC
real,real-005,0a268dd608980e0f6d6cdfce731ccce7.mp4,MPEG-4,286635,8481.0,29.616999999999997,605442741,1920,1080,90.0,AVC
real,real-005,8763eaf99ab0e0351baf75cbc29e5725.mp4,MPEG-4,163648,4829.0,29.557,344741013,1920,1080,90.0,AVC
real,real-005,478665d04fdb52479eda5334e7bb3480.mp4,MPEG-4,101269,3024.0,29.934,45110637,720,480,0.0,AVC
real,real-005,6ae921fcafe032f4445c7ea1024ac3f2.mp4,MPEG-4,25088,740.0,29.871,11075347,720,480,90.0,AVC
real,real-005,8efaaf895b1e5ee51879a14dff51749b.mp4,MPEG-4,1772204,53113.0,29.97,326887047,640,480,0.0,AVC
real,real-005,b4aafa784dc6544e398b0ee8a02e9c91.mp4,MPEG-4,623744,18677.0,29.97,278297484,720,480,90.0,AVC
real,real-005,c3589e0d38cab7fb73e71ddfd42098d6.mp4,MPEG-4,115819,3460.0,29.97,51460289,720,480,90.0,AVC
real,real-005,be26b465123ac9b3bfe69eae385c706e.mp4,MPEG-4,514880,15434.0,30.0,230075523,720,480,90.0,AVC
real,real-005,2879ccfc9c565490c9f24bdbc15ac469.mp4,MPEG-4,161493,4835.0,29.97,72118733,720,480,90.0,AVC
real,real-005,1622be297c539aff7f7a1388a5524811.mp4,MPEG-4,64213,1918.0,29.97,28609948,720,480,90.0,AVC
real,real-005,28bad8423db36e8f7ee68c2432cb12c8.mp4,MPEG-4,30891,918.0,29.93,13717307,720,480,0.0,AVC
real,real-005,a9bf0164e5dc36fd58693fe2172f6b45.mp4,MPEG-4,60947,1825.0,29.94,27210553,720,480,0.0,AVC
real,real-005,ff0ffb293cf4694b105873559fd4e54b.mp4,MPEG-4,143392,4290.0,29.918000000000003,63963467,720,480,0.0,AVC
real,real-005,c3aed82d1a1bfa9105790db0d0df357a.mp4,MPEG-4,1334232,40008.0,30.0,596382211,720,480,180.0,AVC
real,real-005,3ee7711523a02ccd178c674a83d99cda.mp4,MPEG-4,515797,15459.0,30.0,230435482,720,480,90.0,AVC
real,real-005,58dfc76a706fcb4abee593b4249354f8.wmv,Windows Media,5912133,177364.0,30.0,1243912917,640,480,0.0,WMV3
