group,비디오 A,비디오 B,A start,A end,B start,B end
sim-001,5cff4dd374af13be8b05e0b80958fb53.mkv,5cff4dd374af13be8b05e0b80958fb53.mkv,0:00:00,0:03:47,0:00:00,0:03:47
sim-001,5cff4dd374af13be8b05e0b80958fb53.mkv,a93fbc5f1e52f2785761098dbd62e155.mkv,0:00:00,0:03:47,0:00:00,0:03:47
sim-001,a93fbc5f1e52f2785761098dbd62e155.mkv,a93fbc5f1e52f2785761098dbd62e155.mkv,0:00:00,0:03:47,0:00:00,0:03:47
sim-002,eee409d158377bfb2506364d8cfe337c.mkv,eee409d158377bfb2506364d8cfe337c.mkv,0:00:00,0:04:57,0:00:00,0:04:57
sim-002,eee409d158377bfb2506364d8cfe337c.mkv,df5b70d19369d8ac8bb8fc4959da2514.mkv,0:00:00,0:04:57,0:00:00,0:04:57
sim-002,eee409d158377bfb2506364d8cfe337c.mkv,52784126ac1d04be627445d2f186e1d2.mkv,0:00:00,0:04:57,0:00:00,0:04:57
sim-002,eee409d158377bfb2506364d8cfe337c.mkv,4f4eb2f880b3e4dbfdd7e07fc1bb1e50.mkv,0:00:00,0:04:57,0:00:00,0:06:11
sim-002,eee409d158377bfb2506364d8cfe337c.mkv,f676934ff655d10dd7610118d10f2f9e.mkv,0:00:00,0:04:57,0:00:00,0:04:57
sim-002,eee409d158377bfb2506364d8cfe337c.mkv,fbaca40fbf5fbf5c5e5e719456e77158.mkv,0:00:00,0:04:57,0:00:00,0:04:57
sim-002,df5b70d19369d8ac8bb8fc4959da2514.mkv,df5b70d19369d8ac8bb8fc4959da2514.mkv,0:00:00,0:04:57,0:00:00,0:04:57
sim-002,df5b70d19369d8ac8bb8fc4959da2514.mkv,52784126ac1d04be627445d2f186e1d2.mkv,0:00:00,0:04:57,0:00:00,0:04:57
sim-002,df5b70d19369d8ac8bb8fc4959da2514.mkv,4f4eb2f880b3e4dbfdd7e07fc1bb1e50.mkv,0:00:00,0:04:57,0:00:00,0:06:11
sim-002,df5b70d19369d8ac8bb8fc4959da2514.mkv,f676934ff655d10dd7610118d10f2f9e.mkv,0:00:00,0:04:57,0:00:00,0:04:57
sim-002,df5b70d19369d8ac8bb8fc4959da2514.mkv,fbaca40fbf5fbf5c5e5e719456e77158.mkv,0:00:00,0:04:57,0:00:00,0:04:57
sim-002,52784126ac1d04be627445d2f186e1d2.mkv,52784126ac1d04be627445d2f186e1d2.mkv,0:00:00,0:04:57,0:00:00,0:04:57
sim-002,52784126ac1d04be627445d2f186e1d2.mkv,4f4eb2f880b3e4dbfdd7e07fc1bb1e50.mkv,0:00:00,0:04:57,0:00:00,0:06:11
sim-002,52784126ac1d04be627445d2f186e1d2.mkv,f676934ff655d10dd7610118d10f2f9e.mkv,0:00:00,0:04:57,0:00:00,0:04:57
sim-002,52784126ac1d04be627445d2f186e1d2.mkv,fbaca40fbf5fbf5c5e5e719456e77158.mkv,0:00:00,0:04:57,0:00:00,0:04:57
sim-002,4f4eb2f880b3e4dbfdd7e07fc1bb1e50.mkv,4f4eb2f880b3e4dbfdd7e07fc1bb1e50.mkv,0:00:00,0:06:11,0:00:00,0:06:11
sim-002,4f4eb2f880b3e4dbfdd7e07fc1bb1e50.mkv,f676934ff655d10dd7610118d10f2f9e.mkv,0:00:00,0:06:11,0:00:00,0:04:57
sim-002,4f4eb2f880b3e4dbfdd7e07fc1bb1e50.mkv,fbaca40fbf5fbf5c5e5e719456e77158.mkv,0:00:00,0:06:11,0:00:00,0:04:57
sim-002,f676934ff655d10dd7610118d10f2f9e.mkv,f676934ff655d10dd7610118d10f2f9e.mkv,0:00:00,0:04:57,0:00:00,0:04:57
sim-002,f676934ff655d10dd7610118d10f2f9e.mkv,fbaca40fbf5fbf5c5e5e719456e77158.mkv,0:00:00,0:04:57,0:00:00,0:04:57
sim-002,fbaca40fbf5fbf5c5e5e719456e77158.mkv,fbaca40fbf5fbf5c5e5e719456e77158.mkv,0:00:00,0:04:57,0:00:00,0:04:57
sim-003,634344488518f9e90cd8a9cb61a51d48.wmv,634344488518f9e90cd8a9cb61a51d48.wmv,0:00:00,0:06:12,0:00:00,0:06:12
sim-003,634344488518f9e90cd8a9cb61a51d48.wmv,d0778d12ea94a36793db7bc9956b111e.wmv,0:00:00,0:06:12,0:00:00,0:07:44
sim-003,634344488518f9e90cd8a9cb61a51d48.wmv,0918738d6ad2f0be8d54432a9f7e9150.wmv,0:00:00,0:06:12,0:00:00,0:06:12
sim-003,634344488518f9e90cd8a9cb61a51d48.wmv,fb9f1f90c4ee1241ef0b36aea951f98a.wmv,0:00:00,0:06:12,0:00:00,0:07:44
sim-003,d0778d12ea94a36793db7bc9956b111e.wmv,d0778d12ea94a36793db7bc9956b111e.wmv,0:00:00,0:07:44,0:00:00,0:07:44
sim-003,d0778d12ea94a36793db7bc9956b111e.wmv,0918738d6ad2f0be8d54432a9f7e9150.wmv,0:00:00,0:07:44,0:00:00,0:06:12
sim-003,d0778d12ea94a36793db7bc9956b111e.wmv,fb9f1f90c4ee1241ef0b36aea951f98a.wmv,0:00:00,0:07:44,0:00:00,0:07:44
sim-003,0918738d6ad2f0be8d54432a9f7e9150.wmv,0918738d6ad2f0be8d54432a9f7e9150.wmv,0:00:00,0:06:12,0:00:00,0:06:12
sim-003,0918738d6ad2f0be8d54432a9f7e9150.wmv,fb9f1f90c4ee1241ef0b36aea951f98a.wmv,0:00:00,0:06:12,0:00:00,0:07:44
sim-003,fb9f1f90c4ee1241ef0b36aea951f98a.wmv,fb9f1f90c4ee1241ef0b36aea951f98a.wmv,0:00:00,0:07:44,0:00:00,0:07:44
sim-004,9cc609244996a52bfdb9bd00d9fb80c9.wmv,9cc609244996a52bfdb9bd00d9fb80c9.wmv,0:00:00,0:07:11,0:00:00,0:07:11
sim-004,9cc609244996a52bfdb9bd00d9fb80c9.wmv,92f2e6d4a2797dc2c977b90d4f748a17.wmv,0:00:00,0:07:11,0:00:00,0:07:11
